epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,284.502,0.99079,0.62815,1.06822,0.9156,0.97083,0.9808,0.70166,1.07756,0.55821,1.109,0.0011882,0.0011882,0.0011882
43,291.304,0.9776,0.61451,1.05968,0.9607,0.92218,0.97823,0.68134,1.13134,0.58526,1.14502,0.0011684,0.0011684,0.0011684
44,298.057,0.9685,0.60034,1.04316,0.92824,0.95635,0.97193,0.67761,1.11434,0.58643,1.12435,0.0011486,0.0011486,0.0011486
45,304.809,0.99335,0.61794,1.06169,0.94017,0.96498,0.98486,0.70908,1.0832,0.57768,1.11204,0.0011288,0.0011288,0.0011288
46,311.574,0.9986,0.60147,1.05716,0.93924,0.96498,0.98328,0.69335,1.06358,0.55167,1.09787,0.001109,0.001109,0.001109
47,318.293,1.00414,0.59795,1.06701,0.93184,0.97665,0.97831,0.69303,1.09279,0.54672,1.11902,0.0010892,0.0010892,0.0010892
48,325.021,0.9328,0.57984,1.03785,0.95329,0.96498,0.98298,0.69135,1.04244,0.53448,1.08983,0.0010694,0.0010694,0.0010694
49,331.799,0.99242,0.59916,1.07842,0.93179,0.97276,0.97484,0.70723,1.04653,0.52441,1.08087,0.0010496,0.0010496,0.0010496
50,338.492,0.95653,0.58507,1.04451,0.9427,0.96026,0.97082,0.69091,1.08642,0.55297,1.10245,0.0010298,0.0010298,0.0010298
51,345.311,0.97189,0.5698,1.03438,0.95308,0.97665,0.98181,0.69578,1.06711,0.53648,1.08817,0.00101,0.00101,0.00101
52,352.053,0.96632,0.60645,1.0589,0.9424,0.95331,0.97649,0.71744,1.03248,0.53562,1.08686,0.0009902,0.0009902,0.0009902
53,358.867,0.94626,0.57558,1.03698,0.92628,0.97778,0.9713,0.69471,1.07063,0.52689,1.10304,0.0009704,0.0009704,0.0009704
54,365.899,0.97421,0.57474,1.04544,0.93342,0.98185,0.97299,0.69855,1.07835,0.53179,1.09333,0.0009506,0.0009506,0.0009506
55,372.803,0.9433,0.58058,1.04606,0.94195,0.96887,0.97212,0.7094,1.0118,0.53988,1.06833,0.0009308,0.0009308,0.0009308
56,379.652,0.93209,0.56012,1.03768,0.9438,0.97276,0.97617,0.7122,1.01207,0.53834,1.05405,0.000911,0.000911,0.000911
57,386.537,0.9509,0.57132,1.03905,0.94707,0.97463,0.97725,0.71048,1.0348,0.53404,1.08023,0.0008912,0.0008912,0.0008912
58,393.421,0.98689,0.57171,1.07185,0.94695,0.9723,0.97505,0.70542,1.03527,0.53464,1.08041,0.0008714,0.0008714,0.0008714
59,400.287,0.91429,0.57168,1.03892,0.93318,0.97665,0.97682,0.69169,1.11604,0.52738,1.14591,0.0008516,0.0008516,0.0008516
60,407.019,0.92559,0.5513,1.03235,0.93895,0.96498,0.9746,0.67043,1.16755,0.55044,1.14065,0.0008318,0.0008318,0.0008318
61,413.753,0.93725,0.55203,1.04194,0.94304,0.96498,0.97542,0.68137,1.162,0.55081,1.15022,0.000812,0.000812,0.000812
62,420.57,0.91922,0.57309,1.02282,0.9388,0.96887,0.9709,0.6954,1.08434,0.54986,1.11669,0.0007922,0.0007922,0.0007922
63,427.236,0.90396,0.53827,1.0211,0.93177,0.95641,0.96747,0.69314,1.05768,0.53514,1.07775,0.0007724,0.0007724,0.0007724
64,433.934,0.93124,0.54733,1.03265,0.93382,0.97276,0.96966,0.69871,1.03632,0.52081,1.08055,0.0007526,0.0007526,0.0007526
65,440.662,0.87227,0.64496,0.99313,0.94562,0.96498,0.96987,0.6997,1.03295,0.52271,1.06398,0.0007328,0.0007328,0.0007328
66,447.408,0.89368,0.53272,1.03018,0.93735,0.97276,0.9767,0.70565,1.02945,0.52442,1.07469,0.000713,0.000713,0.000713
67,454.155,0.88002,0.52272,1.01974,0.9373,0.96109,0.9759,0.7027,1.02283,0.51494,1.06143,0.0006932,0.0006932,0.0006932
